pair,sector,p_value,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,n_trades,time_in_market
CI/TECH,Health Care,0.00828691081903093,31.61212557727206,1.0142994347574885,0.45970025286404004,2.162929927844874,-0.3271136266593063,25,0.37290836653386455
CI/EW,Health Care,0.00885522347558474,6.638399584678845,0.5046845202125616,0.42249035789360495,1.1472084774408482,-0.310660119436295,22,0.4191235059760956
AXP/CINF,Financials,0.01390519221396139,4.903960238826049,0.42878414111496554,0.47511004286834035,0.860398863907504,-0.5250357195931407,25,0.4470119521912351
ABT/BDX,Health Care,0.0016292473336836063,1.2667203699173766,0.17874451052128593,0.18635981230654475,0.8518172912739674,-0.21303820866307863,24,0.550597609561753
BDX/BSX,Health Care,0.015853401668447883,1.425754741138237,0.19491675914626483,0.22933070037337924,0.7627271833273013,-0.1968771325919858,24,0.5346613545816733
BF-B/KO,Consumer Staples,0.013448984480516872,1.425652875591732,0.19490667524990113,0.3144475516130446,0.5562348135727868,-0.49895760990720406,21,0.4932270916334661
ADI/AVGO,Information Technology,0.01390746744788027,0.7920251513633592,0.12437519160707833,0.19098034663230354,0.546523207479736,-0.18637414740987127,23,0.45976095617529883
AMP/ARES,Financials,0.0011956525756758461,1.591269717462279,0.21087198061257206,0.4890955426961839,0.3902549991774058,-0.6536617129183032,26,0.5266932270916335
BF-B/COST,Consumer Staples,0.006097733382460668,0.5114344326599822,0.08654952626114043,0.17862884607145474,0.3725575556510029,-0.18544775725416393,22,0.4956175298804781
ARES/BRK-B,Financials,0.0019348111507929686,0.5317864019909058,0.08947398684498475,0.2626236370296201,0.2645382100056329,-0.3347179466797645,20,0.5569721115537849
AIG/ARES,Financials,0.004907363478590704,0.30891865675335084,0.05558791554975162,0.17932916947168773,0.19845023347063565,-0.2456830341358866,20,0.5131474103585657
ABBV/COR,Health Care,0.012485429206394503,0.20827183287072182,0.03875124360303883,0.1462010115711305,0.12825659276588436,-0.22077250804148915,19,0.46772908366533866
BLK/COF,Financials,0.0003081644121019895,0.5359812062558382,0.09007289292506693,0.7432012684958478,0.09428521706762724,-0.7867994678826119,19,0.4103585657370518
CTRA/CVX,Energy,0.011787638828512293,0.20748898198094778,0.03861596116946764,0.2270169592629926,0.08200251307172864,-0.25263208857728603,22,0.4940239043824701
AIG/APO,Financials,0.012864813935587279,0.14863456369229322,0.028238749647383488,0.18118244343617304,0.04547211910344853,-0.2598039559760413,20,0.5553784860557769
AMP/APO,Financials,0.0005050002223186219,0.0014546905495598228,0.0002921604098446995,0.5783050986137408,-0.03407861981054136,-0.8346244439286381,23,0.5282868525896415
AAPL/ANET,Information Technology,0.00780120012015776,-0.19294572654056885,-0.04216332916652976,0.3323598256685819,-0.18703623111331438,-0.40463412591286674,20,0.545816733067729
AFL/ARES,Financials,0.009118504460410272,-0.0860933981208104,-0.017928860646338696,0.1637557916027181,-0.23161843788924735,-0.28469557522090855,17,0.6645418326693228
APP/CSCO,Information Technology,0.006191419676556443,-0.9997485000364884,-0.8109123676167296,2.4952875746848426,-0.33299262820305375,-1.0331695160192467,20,0.4701195219123506
AMP/BRK-B,Financials,0.0007092999304743912,-0.20226705881224505,-0.04439681417022656,0.16101467372449643,-0.3999437609047514,-0.3675819791133191,19,0.5856573705179283
